Date,Price,Open,High,Low,Vol.,Change %
10/23/17,980.62,977.12,982.88,975.12,-,0.20%
10/20/17,978.62,985.38,993.88,978.62,-,-0.81%
10/19/17,986.62,983.38,988.88,983.38,-,0.25%
10/18/17,984.12,985.38,988.38,981.88,-,-0.03%
10/17/17,984.38,989.38,990.38,982.62,-,-0.61%
10/16/17,990.38,997.88,998.75,990.38,-,-0.90%
10/13/17,999.38,990.88,"1,003.12",990.38,-,0.73%
10/12/17,992.12,964.88,997.38,961.88,-,2.77%
10/11/17,965.38,965.62,967.38,963.38,-,-0.05%
10/10/17,965.88,966.25,975.62,964.38,-,-0.08%
10/9/17,966.62,974.38,976.88,965.38,-,-0.59%
10/6/17,972.38,967.88,972.88,963.62,-,0.44%
10/5/17,968.12,958.38,970.88,957.88,-,1.02%
10/4/17,958.38,955.62,961.62,952.88,-,0.34%
10/3/17,955.12,956.38,961.12,952.62,-,-0.21%
10/2/17,957.12,967.38,967.88,956.38,-,-1.01%
9/29/17,966.88,959.12,975.88,955.38,-,0.76%
9/28/17,959.62,964.88,965.88,957.62,-,-0.57%
9/27/17,965.12,963.12,968.38,958.12,-,0.18%
9/26/17,963.38,971.62,974.12,962.62,-,-0.82%
9/25/17,971.38,983.38,985.62,971.12,-,-1.32%
9/22/17,984.38,969.62,986.88,969.12,-,1.39%
9/21/17,970.88,970.12,972.88,963.12,-,0.08%
9/20/17,970.12,966.88,973.88,964.88,-,0.47%
9/19/17,965.62,968.12,971.62,958.62,-,-0.18%
9/18/17,967.38,966.62,976.38,966.62,-,-0.15%
9/15/17,968.88,975.38,977.5,967.38,-,-0.77%
9/14/17,976.38,960.88,978.12,960.38,-,1.64%
9/13/17,960.62,949.62,963.38,946.88,-,1.05%
9/12/17,950.62,960.38,965.62,938.62,-,-1.02%
9/11/17,960.38,964.62,968.62,957,-,-0.16%
9/8/17,961.88,967.88,976.62,961.88,-,-0.70%
9/7/17,968.62,971.38,977.25,965.88,-,-0.22%
9/6/17,970.75,967.62,976.62,964.88,-,0.30%
9/5/17,967.88,953.38,973.38,952.62,-,2.00%
9/1/17,948.88,947.62,951.62,943.12,-,0.24%
8/31/17,946.62,933.12,948.62,932.88,-,1.39%
8/30/17,933.62,936.88,940.88,931.62,-,-0.43%
8/29/17,937.62,940.62,943.62,934.62,-,-0.42%
8/28/17,941.62,943.88,950.38,938.12,-,0.27%
8/25/17,939.12,939.88,941.75,937.12,-,-0.21%
8/24/17,941.12,934.38,942.5,932.38,-,0.61%
8/23/17,935.38,941,943.12,929.12,-,0.19%
8/22/17,933.62,931.62,938.38,927.88,-,0.13%
8/21/17,932.38,935.12,936.12,930.25,-,-0.53%
8/18/17,937.38,930.12,938.88,927.88,-,0.78%
8/17/17,930.12,925.62,931.88,922.12,-,0.89%
8/16/17,921.88,921.38,925.5,917.38,-,0.00%
8/15/17,921.88,932.62,934.25,920.38,-,-1.20%
8/14/17,933.12,929.62,934.38,924.88,-,-0.53%
8/11/17,938.12,935.12,939.5,930.38,-,0.48%
8/10/17,933.62,966.38,980.38,932.12,-,-3.29%
8/9/17,965.38,966.88,971.12,960.38,-,-0.10%
8/8/17,966.38,966.38,973.75,963.88,-,0.29%
8/7/17,963.62,957.75,966.62,955.88,-,1.25%
8/4/17,951.75,953.62,959.5,949.88,-,-0.17%
8/3/17,953.38,969.12,969.62,948.88,-,-1.75%
8/2/17,970.38,964.5,973.38,963.12,-,0.65%
8/1/17,964.12,988.5,992.62,964.12,-,-3.43%
7/31/17,998.38,994.88,"1,001.62",987.38,-,-0.17%
7/28/17,"1,000.12",992.88,"1,007.38",989.62,-,0.53%
7/27/17,994.88,991.62,"1,000.62",987.38,-,0.61%
7/26/17,988.88,980.38,991.12,973.38,-,0.79%
7/25/17,981.12,"1,012.88","1,022.38",981.12,-,-1.68%
7/24/17,997.88,999.38,999.38,985.88,-,-1.14%
7/21/17,"1,009.38","1,011.12","1,013.38","1,001.88",-,-0.35%
7/20/17,"1,012.88",999.62,"1,017.38",995.12,-,1.30%
7/19/17,999.88,991.88,"1,004.62",984.38,-,1.04%
7/18/17,989.62,998.12,"1,004.12",986,-,0.41%
7/17/17,985.62,988.88,995.38,981.62,-,-0.30%
7/14/17,988.62,975.38,992,972.12,-,1.38%
7/13/17,975.12,"1,014.88","1,015.38",974.88,-,-4.46%
7/12/17,"1,020.62","1,026.12","1,031.12","1,010.62",-,-0.85%
7/11/17,"1,029.38","1,027.12","1,032.62","1,008.12",-,0.44%
7/10/17,"1,024.88","1,013.12","1,029.38","1,013.12",-,2.37%
7/7/17,"1,001.12",985.12,"1,003.38",982.62,-,1.47%
7/6/17,986.62,983.88,987.38,973.88,-,0.43%
